,zip code,number_registration,Unnamed: 0,Population,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000"
0,98418.0,38,593,9822,3685.0,11.4,7.3,11.7,7.3,14.4,17.8,17.4,8.2,3.7,0.8
1,98605.0,4,128,1165,417.0,5.0,5.3,15.3,8.9,12.7,24.0,13.9,13.4,1.4,0.0
2,98541.0,27,141,9799,3586.0,10.0,7.4,15.4,10.5,11.5,15.3,12.4,11.4,3.2,2.9
3,98862.0,26,252,2360,1001.0,5.9,7.2,5.8,11.2,11.0,22.6,24.0,5.0,5.0,2.4
4,98638.0,11,352,1225,493.0,4.3,5.1,8.9,15.0,13.8,21.9,14.4,10.5,2.2,3.9
5,99022.0,15,152,8890,3320.0,6.1,4.7,8.9,10.0,13.2,24.0,13.6,12.3,4.9,2.3
6,98557.0,16,382,3262,1244.0,4.6,5.0,9.2,10.6,18.3,20.3,15.3,13.9,1.6,1.3
7,98568.0,13,496,2714,992.0,15.8,6.0,6.6,9.3,14.9,17.9,11.2,10.7,7.6,0.0
8,98305.0,3,362,328,149.0,18.8,2.7,13.4,12.8,16.1,14.8,9.4,8.7,0.0,3.4
9,99403.0,23,457,20080,8474.0,7.5,6.9,12.8,13.6,16.0,16.9,11.8,8.7,4.8,1.1
10,98444.0,84,182,34771,12772.0,8.8,7.6,13.0,13.4,19.9,18.9,8.5,7.5,1.8,0.6
11,98443.0,29,433,5821,2239.0,3.8,0.8,9.4,10.5,9.6,20.6,13.6,16.8,10.7,4.2
12,98239.0,101,281,7113,3220.0,3.7,5.4,12.0,10.1,11.3,15.7,13.6,17.7,8.0,2.4
13,98349.0,32,284,4509,1783.0,5.8,8.6,4.8,8.3,18.6,25.6,12.1,7.2,5.4,3.6
14,98590.0,3,389,449,210.0,7.1,0.0,35.7,6.2,10.0,22.4,2.4,7.6,4.8,3.8
15,98672.0,76,303,6065,2428.0,3.7,3.6,7.0,14.6,15.4,19.9,19.0,14.5,0.9,1.6
16,98675.0,27,294,7395,2015.0,5.4,4.7,7.3,6.8,13.3,22.0,11.8,15.5,9.5,3.7
17,98294.0,48,566,6659,2679.0,11.3,1.9,8.0,8.2,7.9,27.0,18.5,13.0,2.2,2.1
18,98631.0,16,240,3595,1725.0,10.3,9.2,14.6,12.5,13.2,14.8,15.5,7.6,1.3,0.9
19,98365.0,70,570,4501,2103.0,7.3,2.8,11.6,8.9,12.2,18.8,13.6,18.5,3.5,2.8
20,98380.0,50,443,4835,1794.0,3.7,1.8,8.5,5.5,17.1,10.3,17.8,21.2,8.4,5.7
21,98499.0,129,411,30630,12635.0,9.8,7.1,14.3,15.7,14.6,15.0,12.4,7.4,1.6,2.2
22,98249.0,72,264,4146,1920.0,3.5,6.2,10.1,8.4,16.7,18.5,10.0,16.4,4.6,5.6
23,98650.0,13,243,996,332.0,3.9,3.3,8.1,5.7,16.0,27.7,15.7,7.8,10.2,1.5
24,98674.0,94,37,11776,4093.0,3.1,2.6,8.3,9.3,11.8,26.0,12.6,15.8,6.3,4.3
25,98528.0,54,122,9402,3202.0,4.2,4.7,11.5,8.1,11.5,23.5,13.6,13.7,4.2,4.9
26,98371.0,168,349,20409,8312.0,4.8,4.2,7.4,8.5,13.3,23.2,12.3,17.3,5.4,3.7
27,98823.0,25,247,11336,3745.0,5.3,5.3,9.5,8.2,12.6,23.6,19.9,11.6,0.7,3.2
28,98382.0,247,116,27454,12640.0,4.9,5.6,11.2,12.7,17.3,19.1,12.4,10.9,3.4,2.4
29,98812.0,7,246,5098,1545.0,9.2,7.1,15.2,13.3,17.8,13.4,9.3,9.7,2.3,2.8
30,98936.0,10,99,5929,1828.0,4.1,5.1,10.1,7.7,18.0,23.7,15.8,14.2,0.9,0.3
31,99163.0,91,9,33822,11300.0,19.2,9.3,15.2,10.8,10.2,10.3,9.5,8.6,3.7,3.3
32,98849.0,4,168,1250,479.0,2.7,4.4,7.3,18.8,16.7,30.1,9.2,10.4,0.0,0.4
33,98601.0,15,354,3316,1042.0,1.1,3.1,13.0,13.2,9.3,20.0,20.7,14.2,5.5,0.0
34,99021.0,36,80,8765,3472.0,4.8,1.4,10.5,7.1,14.5,26.1,12.3,15.5,3.3,4.6
35,98329.0,114,286,10682,3818.0,1.5,4.4,5.8,9.1,13.2,20.0,16.1,15.8,8.3,5.7
36,98007.0,484,315,27050,10639.0,6.8,3.4,5.8,3.7,8.6,16.9,12.1,21.0,9.8,11.8
37,99027.0,26,18,6169,2390.0,6.4,5.3,10.6,10.3,13.2,16.9,13.3,16.4,5.6,1.9
38,98402.0,85,574,6023,3355.0,19.4,9.5,10.3,7.3,9.3,17.0,10.1,12.0,3.8,1.3
39,99357.0,8,392,4287,900.0,2.9,2.0,11.4,17.6,21.9,23.2,5.1,10.1,5.4,0.3
40,99114.0,23,521,11764,5011.0,9.2,5.7,11.0,11.7,17.2,17.6,12.6,10.4,2.8,1.7
41,99037.0,56,153,12928,5285.0,3.6,3.6,7.9,11.3,17.3,18.8,13.1,14.6,6.0,3.9
42,98903.0,33,479,14299,5123.0,7.4,8.0,10.8,10.5,15.9,20.1,11.8,10.5,2.2,2.7
43,99324.0,21,501,9522,3684.0,7.1,5.5,14.2,14.4,18.5,17.6,9.4,9.1,2.9,1.4
44,98203.0,272,277,34628,13257.0,5.6,3.9,9.9,10.7,9.2,20.0,15.0,15.3,6.3,4.3
45,98940.0,18,134,385,200.0,12.0,0.0,0.0,0.0,37.0,8.5,7.5,27.0,0.0,8.0
46,98596.0,21,127,7027,2522.0,7.1,3.8,15.0,11.6,20.7,15.9,13.0,10.5,2.2,0.2
47,98275.0,362,358,20994,8047.0,2.4,1.1,3.6,5.1,7.3,16.1,14.9,23.8,11.8,13.9
48,98148.0,87,578,11257,4464.0,7.6,5.6,10.1,11.0,18.0,17.7,9.7,12.6,5.2,2.5
49,98579.0,51,64,13894,4678.0,2.0,4.3,8.6,7.2,14.8,25.0,13.8,17.9,3.6,2.8
50,98262.0,19,391,951,468.0,6.0,1.3,10.3,7.5,13.0,17.3,18.8,14.7,10.0,1.1
51,98550.0,24,381,11194,4737.0,12.1,6.0,11.2,14.6,13.7,20.1,7.8,10.2,2.3,1.9
52,98841.0,7,41,8538,3439.0,7.7,8.1,15.8,9.4,12.6,17.7,10.2,13.0,4.7,0.9
53,98087.0,333,454,36649,12725.0,3.7,2.9,5.8,7.5,13.1,21.3,16.1,18.1,7.6,4.0
54,98902.0,60,46,46300,16322.0,8.9,7.4,14.6,13.4,17.2,20.4,10.0,5.7,0.9,1.5
55,99204.0,31,94,5832,3374.0,16.4,10.4,18.5,13.8,11.9,9.8,9.1,7.6,1.5,1.2
56,98632.0,172,68,48512,19585.0,9.8,6.2,15.5,11.4,14.6,17.2,10.5,9.8,3.1,1.9
57,99336.0,109,462,50529,18174.0,9.2,6.2,14.6,10.0,15.6,20.5,11.9,7.5,2.5,2.0
58,98362.0,132,347,23026,10010.0,8.4,6.4,11.4,11.2,15.2,17.9,13.6,10.2,3.5,2.0
59,98588.0,11,472,1570,756.0,5.7,3.6,19.4,6.5,5.4,26.7,6.5,9.8,8.7,7.7
60,98236.0,120,280,6004,2639.0,3.2,1.9,8.5,5.9,15.2,22.3,14.8,15.1,7.0,6.1
