year,month,week,Zip Code,sale,Clean Alternative Fuel Vehicle Type
2022,8,34,98206.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
2022,8,32,98950.0,1,Battery Electric Vehicle (BEV)
2022,8,31,99330.0,1,Battery Electric Vehicle (BEV)
2022,8,32,99330.0,2,Battery Electric Vehicle (BEV)
2022,7,28,98283.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
2022,7,28,98243.0,1,Battery Electric Vehicle (BEV)
2022,7,26,98538.0,1,Battery Electric Vehicle (BEV)
2022,6,23,99135.0,1,Battery Electric Vehicle (BEV)
2022,3,10,98832.0,1,Battery Electric Vehicle (BEV)
2022,8,31,98832.0,2,Battery Electric Vehicle (BEV)
2022,2,6,99030.0,1,Battery Electric Vehicle (BEV)
2022,1,3,98582.0,1,Battery Electric Vehicle (BEV)
2022,2,7,98582.0,2,Battery Electric Vehicle (BEV)
2022,1,1,98575.0,1,Battery Electric Vehicle (BEV)
2021,12,52,99119.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
2021,12,51,98952.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
2021,12,49,98556.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
2021,10,41,99034.0,1,Battery Electric Vehicle (BEV)
2021,10,39,98647.0,1,Battery Electric Vehicle (BEV)
2021,9,38,99138.0,1,Battery Electric Vehicle (BEV)
2021,11,48,99138.0,2,Battery Electric Vehicle (BEV)
2021,8,35,99345.0,1,Battery Electric Vehicle (BEV)
2021,8,31,99147.0,1,Battery Electric Vehicle (BEV)
2021,7,28,98844.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
2022,8,31,98844.0,2,Battery Electric Vehicle (BEV)
2021,7,27,98609.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
2021,6,24,98267.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
2021,6,22,99347.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
2021,5,20,99356.0,1,Battery Electric Vehicle (BEV)
2021,6,25,99356.0,2,Plug-in Hybrid Electric Vehicle (PHEV)
2021,5,20,98845.0,1,Battery Electric Vehicle (BEV)
2022,3,11,98845.0,2,Battery Electric Vehicle (BEV)
2021,5,20,98610.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
2021,7,28,98610.0,2,Battery Electric Vehicle (BEV)
2021,12,50,98610.0,3,Battery Electric Vehicle (BEV)
2021,12,52,98610.0,4,Battery Electric Vehicle (BEV)
2021,5,20,98357.0,1,Battery Electric Vehicle (BEV)
2022,1,1,98357.0,2,Battery Electric Vehicle (BEV)
2022,3,9,98357.0,3,Battery Electric Vehicle (BEV)
2021,4,17,99033.0,1,Battery Electric Vehicle (BEV)
2022,6,26,99033.0,2,Battery Electric Vehicle (BEV)
2021,4,16,99322.0,1,Battery Electric Vehicle (BEV)
2021,4,14,98941.0,1,Battery Electric Vehicle (BEV)
2021,5,20,98941.0,2,Plug-in Hybrid Electric Vehicle (PHEV)
2021,7,28,98941.0,3,Battery Electric Vehicle (BEV)
2021,8,32,98941.0,4,Battery Electric Vehicle (BEV)
2022,5,21,98941.0,5,Battery Electric Vehicle (BEV)
2021,3,10,98621.0,1,Battery Electric Vehicle (BEV)
2021,3,9,98314.0,1,Battery Electric Vehicle (BEV)
2021,10,41,98314.0,2,Battery Electric Vehicle (BEV)
2020,11,46,98377.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
2020,11,45,98566.0,1,Battery Electric Vehicle (BEV)
2020,10,41,98586.0,1,Battery Electric Vehicle (BEV)
2020,8,35,99116.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
2022,2,6,99116.0,2,Battery Electric Vehicle (BEV)
2020,8,35,98562.0,1,Battery Electric Vehicle (BEV)
2020,8,33,98673.0,1,Battery Electric Vehicle (BEV)
2020,8,32,98552.0,1,Battery Electric Vehicle (BEV)
