,index,year,month,week,weekly_new_reg,year-month-week,year-month,cum_reg,cum_reg_norm
0,0,2010,2,7,1,2010-2-7,2010-2,1,9.338114447930673e-06
1,1,2010,3,11,1,2010-3-11,2010-3,2,1.8676228895861346e-05
2,2,2010,3,13,1,2010-3-13,2010-3,3,2.8014343343792023e-05
3,3,2010,4,14,1,2010-4-14,2010-4,4,3.735245779172269e-05
4,4,2010,4,17,1,2010-4-17,2010-4,5,4.669057223965337e-05
5,5,2010,5,20,1,2010-5-20,2010-5,6,5.6028686687584046e-05
6,6,2010,5,21,1,2010-5-21,2010-5,7,6.536680113551472e-05
7,7,2010,6,25,1,2010-6-25,2010-6,8,7.470491558344539e-05
8,8,2010,7,28,1,2010-7-28,2010-7,9,8.404303003137606e-05
9,9,2010,7,30,1,2010-7-30,2010-7,10,9.338114447930674e-05
10,10,2010,9,39,1,2010-9-39,2010-9,11,0.00010271925892723742
11,11,2010,10,41,2,2010-10-41,2010-10,13,0.00012139548782309876
12,12,2010,10,43,3,2010-10-43,2010-10,16,0.00014940983116689077
13,13,2010,12,49,1,2010-12-49,2010-12,17,0.00015874794561482146
14,14,2010,12,51,4,2010-12-51,2010-12,21,0.00019610040340654414
15,15,2011,1,1,1,2011-1-1,2011-1,22,0.00020543851785447483
16,16,2011,1,2,1,2011-1-2,2011-1,23,0.0002147766323024055
17,17,2011,1,4,4,2011-1-4,2011-1,27,0.0002521290900941282
18,18,2011,2,5,4,2011-2-5,2011-2,31,0.0002894815478858509
19,19,2011,2,6,1,2011-2-6,2011-2,32,0.00029881966233378154
20,20,2011,2,7,5,2011-2-7,2011-2,37,0.00034551023457343494
21,21,2011,2,8,3,2011-2-8,2011-2,40,0.00037352457791722696
22,22,2011,3,9,3,2011-3-9,2011-3,43,0.00040153892126101897
23,23,2011,3,11,2,2011-3-11,2011-3,45,0.0004202151501568803
24,24,2011,3,12,1,2011-3-12,2011-3,46,0.000429553264604811
25,25,2011,3,13,4,2011-3-13,2011-3,50,0.0004669057223965337
26,26,2011,4,13,1,2011-4-13,2011-4,51,0.0004762438368444644
27,27,2011,4,14,5,2011-4-14,2011-4,56,0.0005229344090841178
28,28,2011,4,15,10,2011-4-15,2011-4,66,0.0006163155535634245
29,29,2011,4,16,13,2011-4-16,2011-4,79,0.0007377110413865233
30,30,2011,4,17,15,2011-4-17,2011-4,94,0.0008777827581054834
31,31,2011,5,18,11,2011-5-18,2011-5,105,0.0009805020170327208
32,32,2011,5,19,12,2011-5-19,2011-5,117,0.0010925593904078889
33,33,2011,5,20,20,2011-5-20,2011-5,137,0.0012793216793665022
34,34,2011,5,21,36,2011-5-21,2011-5,173,0.0016154937994920066
35,35,2011,5,22,1,2011-5-22,2011-5,174,0.0016248319139399372
36,36,2011,6,22,20,2011-6-22,2011-6,194,0.0018115942028985507
37,37,2011,6,23,46,2011-6-23,2011-6,240,0.0022411474675033617
38,38,2011,6,24,46,2011-6-24,2011-6,286,0.0026707007321081725
39,39,2011,6,25,40,2011-6-25,2011-6,326,0.0030442253100253997
40,40,2011,6,26,47,2011-6-26,2011-6,373,0.0034831166890781414
41,41,2011,7,26,4,2011-7-26,2011-7,377,0.003520469146869864
42,42,2011,7,27,49,2011-7-27,2011-7,426,0.003978036754818467
43,43,2011,7,28,70,2011-7-28,2011-7,496,0.0046317047661736145
44,44,2011,7,29,73,2011-7-29,2011-7,569,0.005313387120872553
