zip,primary_city,acceptable_cities,state,county,latitude,longitude,irs_estimated_population
98001,Auburn,"Algona, Federal Way",WA,King County,47.3,-122.26,33760
98002,Auburn,,WA,King County,47.31,-122.22,32510
98003,Federal Way,Auburn,WA,King County,47.3,-122.31,43710
98004,Bellevue,"Beaux Arts, Clyde Hill, Hunts Point, Yarrow Point",WA,King County,47.61,-122.21,33340
98005,Bellevue,,WA,King County,47.62,-122.16,19190
98006,Bellevue,,WA,King County,47.55,-122.14,39810
98007,Bellevue,,WA,King County,47.62,-122.14,25550
98008,Bellevue,,WA,King County,47.6,-122.11,25070
98009,Bellevue,,WA,King County,47.61,-122.2,1399
98010,Black Diamond,,WA,King County,47.32,-121.99,6190
98011,Bothell,,WA,King County,47.74,-122.2,24640
98012,Bothell,Mill Creek,WA,Snohomish County,47.84,-122.19,69490
98013,Burton,Vashon,WA,King County,47.38,-122.45,380
98014,Carnation,,WA,King County,47.64,-121.89,7260
98015,Bellevue,,WA,King County,47.61,-122.2,886
98019,Duvall,,WA,King County,47.73,-121.93,12300
98020,Edmonds,Woodway,WA,Snohomish County,47.8,-122.37,19670
98021,Bothell,,WA,Snohomish County,47.79,-122.2,32480
98022,Enumclaw,,WA,King County,47.1,-121.6,21910
98023,Federal Way,Auburn,WA,King County,47.3,-122.37,47140
98024,Fall City,,WA,King County,47.58,-121.88,5200
98025,Hobart,,WA,King County,47.43,-121.89,644
98026,Edmonds,,WA,Snohomish County,47.84,-122.33,35590
98027,Issaquah,,WA,King County,47.5,-122,28320
98028,Kenmore,Bothell,WA,King County,47.75,-122.24,22610
98029,Issaquah,Sammamish,WA,King County,47.55,-122,29160
98030,Kent,,WA,King County,47.36,-122.19,34470
98031,Kent,,WA,King County,47.4,-122.19,39930
98032,Kent,,WA,King County,47.39,-122.26,33070
98033,Kirkland,Redmond,WA,King County,47.67,-122.18,38470
98034,Kirkland,,WA,King County,47.72,-122.2,46350
98035,Kent,,WA,King County,47.38,-122.19,884
98036,Lynnwood,Brier,WA,Snohomish County,47.8,-122.28,37780
98037,Lynnwood,,WA,Snohomish County,47.84,-122.29,26370
98038,Maple Valley,,WA,King County,47.4,-121.99,36270
98039,Medina,,WA,King County,47.62,-122.23,3070
98040,Mercer Island,,WA,King County,47.56,-122.22,25510
98041,Bothell,,WA,King County,47.75,-122.21,1101
98042,Kent,Covington,WA,King County,47.36,-122.1,47570
98043,Mountlake Terrace,Mountlake Ter,WA,Snohomish County,47.79,-122.3,18880
98045,North Bend,,WA,King County,47.39,-121.61,15700
98046,Lynnwood,,WA,Snohomish County,47.83,-122.3,1459
98047,Pacific,Auburn,WA,King County,47.26,-122.25,6480
98050,Preston,,WA,King County,47.55,-121.94,597
98051,Ravensdale,,WA,King County,47.34,-121.92,3860
98052,Redmond,,WA,King County,47.68,-122.12,69780
98053,Redmond,,WA,King County,47.66,-122.01,22190
98054,Redondo,,WA,King County,47.34,-122.32,161
98055,Renton,,WA,King County,47.46,-122.21,21380
98056,Renton,Newcastle,WA,King County,47.51,-122.18,32820
98057,Renton,,WA,King County,47.47,-122.22,11740
98058,Renton,,WA,King County,47.43,-122.11,41100
98059,Renton,Newcastle,WA,King County,47.49,-122.1,39070
98061,Rollingbay,,WA,Kitsap County,47.65,-122.55,322
98062,Seahurst,Burien,WA,King County,47.46,-122.36,482
98063,Federal Way,Auburn,WA,King County,47.3,-122.31,1064
98064,Kent,,WA,King County,47.39,-122.23,1064
98065,Snoqualmie,,WA,King County,47.53,-121.8,15960
98068,Snoqualmie Pass,Snoqualmie Ps,WA,Kittitas County,47.42,-121.37,236
98070,Vashon,,WA,King County,47.42,-122.45,10150
98071,Auburn,,WA,King County,47.25,-122.11,1338
98072,Woodinville,,WA,King County,47.75,-122.09,25080
98073,Redmond,,WA,King County,47.67,-122.11,1169
98074,Sammamish,Redmond,WA,King County,47.62,-122.02,30750
98075,Sammamish,Issaquah,WA,King County,47.58,-122.03,26000
98077,Woodinville,,WA,King County,47.75,-122.04,13430
98082,Mill Creek,Bothell,WA,,47.85,-122.22,1402
98083,Kirkland,,WA,King County,47.68,-122.19,1060
98087,Lynnwood,,WA,Snohomish County,47.85,-122.28,35800
98089,Kent,,WA,King County,47.38,-122.23,556
98092,Auburn,,WA,King County,47.28,-122.1,46970
98093,Federal Way,Auburn,WA,King County,47.3,-122.35,1902
98101,Seattle,,WA,King County,47.61,-122.33,12000
98102,Seattle,,WA,King County,47.63,-122.32,20640
98103,Seattle,,WA,King County,47.67,-122.34,45170
98104,Seattle,,WA,King County,47.6,-122.32,9930
98105,Seattle,,WA,King County,47.66,-122.29,25690
98106,Seattle,,WA,King County,47.54,-122.35,22580
98107,Seattle,,WA,King County,47.67,-122.38,24450
98108,Seattle,Tukwila,WA,King County,47.54,-122.31,22480
98109,Seattle,,WA,King County,47.63,-122.34,26280
98110,Bainbridge Island,"Bainbridge Is, Seattle",WA,Kitsap County,47.64,-122.53,24050
98111,Seattle,,WA,King County,47.61,-122.33,1613
98112,Seattle,,WA,King County,47.63,-122.29,20160
98113,Seattle,,WA,King County,47.61,-122.33,244
98114,Seattle,,WA,King County,47.58,-122.31,383
98115,Seattle,,WA,King County,47.68,-122.28,49290
98116,Seattle,,WA,King County,47.57,-122.4,25310
98117,Seattle,,WA,King County,47.68,-122.38,33220
98118,Seattle,,WA,King County,47.54,-122.27,44280
98119,Seattle,,WA,King County,47.63,-122.37,20320
98121,Seattle,,WA,King County,47.62,-122.35,15100
98122,Seattle,,WA,King County,47.61,-122.3,31210
98124,Seattle,,WA,King County,47.57,-122.33,1410
98125,Seattle,,WA,King County,47.71,-122.3,35970
98126,Seattle,,WA,King County,47.55,-122.37,20510
98127,Seattle,,WA,King County,47.61,-122.33,702
98129,Seattle,,WA,King County,47.61,-122.33,0
98131,Seattle,,WA,King County,47.46,-122.29,0
98132,Seattle,,WA,King County,47.46,-122.29,0
98133,Seattle,Shoreline,WA,King County,47.73,-122.34,42350
98134,Seattle,,WA,King County,47.57,-122.33,640
98136,Seattle,,WA,King County,47.53,-122.39,15140
98138,Seattle,Tukwila,WA,King County,47.47,-122.26,627
98139,Seattle,,WA,King County,47.61,-122.33,370
98141,Seattle,,WA,King County,47.61,-122.33,66
98144,Seattle,,WA,King County,47.58,-122.3,26650
98145,Seattle,,WA,King County,47.65,-122.31,782
98146,Seattle,Burien,WA,King County,47.49,-122.36,25840
98148,Seattle,"Burien, Des Moines, Normandy Park, Seatac",WA,King County,47.44,-122.32,10020
98151,Seattle,Goodwill Games 1990,WA,King County,47.6,-122.33,0
98154,Seattle,,WA,King County,47.61,-122.33,33
98155,Seattle,"Lake Forest Park, Lk Forest Pk, Shoreline",WA,King County,47.75,-122.29,32860
98158,Seattle,Seatac,WA,King County,47.44,-122.31,0
98160,Seattle,,WA,King County,47.77,-122.38,93
98161,Seattle,,WA,King County,47.6,-122.33,0
98164,Seattle,,WA,King County,47.61,-122.33,140
98165,Seattle,,WA,King County,47.61,-122.33,651
98166,Seattle,"Burien, Normandy Park",WA,King County,47.44,-122.35,20380
98168,Seattle,"Burien, Seatac, Tukwila",WA,King County,47.48,-122.29,33620
98170,Seattle,,WA,King County,47.61,-122.33,0
98171,Seattle,,WA,King County,47.6,-122.33,0
98174,Seattle,,WA,King County,47.6,-122.34,0
98175,Seattle,,WA,King County,47.61,-122.33,395
98177,Seattle,Shoreline,WA,King County,47.73,-122.37,19940
98178,Seattle,Tukwila,WA,King County,47.49,-122.25,24260
98181,Seattle,,WA,King County,47.61,-122.33,0
98184,Seattle,,WA,King County,47.6,-122.33,0
98185,Seattle,,WA,King County,47.66,-122.29,0
98188,Seattle,"Seatac, Tukwila",WA,King County,47.44,-122.28,24360
98189,Seattle,,WA,,47.42,-122.25,0
98190,Seattle,,WA,King County,47.5,-122.29,0
98191,Seattle,,WA,King County,47.61,-122.33,0
98194,Seattle,,WA,King County,47.61,-122.33,299
