Longitude,Latitude,State,City,Zip
-121.9887,48.525461,WA,Hamilton,98255
-122.05288,48.203856,WA,Arlington,98223
-117.97348,48.733324,WA,Evans,99126
-122.66712,45.681271,WA,Vancouver,98665
-117.08628,47.656171,WA,Liberty Lake,99019
-122.113223,47.066193,WA,Tacoma,98413
-123.02536,46.734909,WA,Galvin,98544
-121.803388,47.432251,WA,Seattle,98111
-122.52996,47.203946,WA,University Place,98467
-124.62202,47.905815,WA,La Push,98350
-122.37096,47.803668,WA,Edmonds,98020
-122.113223,47.066193,WA,Sumner,98352
-122.57987,47.080682,WA,Tacoma,98433
-117.73437,48.269784,WA,Chewelah,99109
-122.09356,47.137872,WA,South Prairie,98389
-117.431742,47.653568,WA,Spokane,99252
-122.78382,47.974586,WA,Chimacum,98325
-122.40547,45.60916,WA,Camas,98607
-122.113223,47.066193,WA,Tacoma,98460
-122.702393,46.978118,WA,Olympia,98507
-122.23308,48.461672,WA,Clearlake,98235
-122.73714,48.961443,WA,Blaine,98230
-122.19644,47.388461,WA,Kent,98031
-117.18648,46.732705,WA,Pullman,99163
-121.02979,47.33394,WA,Ronald,98940
-119.75474,48.559477,WA,Conconully,98819
-122.48209,48.185511,WA,Camano,98282
-122.90699,46.580105,WA,Napavine,98565
-122.9827,46.40521,WA,Vader,98593
-122.92868,47.705616,WA,Brinnon,98320
-117.86164,47.693129,WA,Reardan,99029
-122.1526,47.562975,WA,Bellevue,98006
-122.51962,47.807359,WA,Kingston,98346
-117.29236,48.295497,WA,Usk,99180
-122.43971,47.247671,WA,Tacoma,98402
-122.7222,47.378121,WA,Gig Harbor,98329
-122.77537,47.200168,WA,Longbranch,98351
-123.08647,46.814438,WA,Rochester,98579
-123.76903,46.514625,WA,Menlo,98561
-122.35196,48.414576,WA,Mount Vernon,98273
-121.91915,47.193729,WA,Enumclaw,98022
-122.99802,46.969793,WA,Olympia,98512
-123.10538,47.224044,WA,Shelton,98584
-122.21614,48.093129,WA,Marysville,98271
-122.74407,46.532624,WA,Ethel,98542
-122.18372,47.510739,WA,Renton,98056
-119.860117,47.079243,WA,George,98824
-118.70628,47.756616,WA,Wilbur,99185
-121.803388,47.432251,WA,Seattle,98171
-122.8987,46.308371,WA,Castle Rock,98611
-123.90189,47.355226,WA,Humptulips,98552
-122.113223,47.066193,WA,Tacoma,98418
-122.14104,47.610935,WA,Bellevue,98007
-119.28455,47.133606,WA,Moses Lake,98837
-123.43097,47.26332,WA,Matlock,98560
-121.93734,47.860245,WA,Monroe,98272
-122.113223,47.066193,WA,Tacoma,98455
-117.79563,48.030848,WA,Springdale,99173
-122.57947,45.62104,WA,Vancouver,98664
-121.803388,47.432251,WA,Seattle,98140
-123.76903,46.514625,WA,Nahcotta,98637
-120.694658,46.56451,WA,Brownstown,98920
-123.81031,47.489864,WA,Quinault,98575
-123.890317,47.387674,WA,Neilton,98566
-120.35944,47.782158,WA,Entiat,98822
-118.2979,48.207661,WA,Inchelium,99138
-117.15116,47.648693,WA,Greenacres,99016
-121.47523,45.786727,WA,White Salmon,98672
-122.29237,46.884733,WA,Eatonville,98328
-121.803388,47.432251,WA,Seattle,98145
-122.1887,47.196364,WA,Sumner,98390
-122.48053,47.208987,WA,Tacoma,98409
-123.2798,46.637787,WA,Doty,98539
-122.100892,47.140655,WA,South Prairie,98485
-122.33438,47.61067,WA,Seattle,98101
-119.99,46.342102,WA,Sunnyside,98944
-117.37274,47.844289,WA,Colbert,99005
-118.182764,48.84269,WA,Boyds,99107
-122.033685,47.584879,WA,Sammamish,98075
-122.09819,47.138345,WA,South Prairie,98385
-118.399551,47.60894,WA,Lamona,99144
-122.832799,47.266017,WA,Wauna,98395
-122.113223,47.066193,WA,Tacoma,98471
-117.29833,48.858518,WA,Metaline Falls,99153
-121.39603,47.397811,WA,Snoqualmie Pass,98068
-119.901931,46.731046,WA,Mattawa,99309
-120.26699,46.418933,WA,Zillah,98953
-121.803388,47.432251,WA,Seattle,98185
-121.803388,47.432251,WA,Kirkland,98083
-122.113223,47.066193,WA,Lakewood,98492
-118.69498,48.080515,WA,Keller,99140
-119.09462,46.270249,WA,Pasco,99301
-117.11319,47.463725,WA,Rockford,99030
-122.53345,46.588026,WA,Cinebar,98533
-122.61807,48.852655,WA,Ferndale,98248
-123.02078,47.433993,WA,Tahuya,98588
-120.1843,46.345166,WA,Granger,98932
-122.28348,47.848237,WA,Lynnwood,98037
-118.87987,46.191158,WA,Burbank,99323
-119.0672,46.970666,WA,Warden,98857
-121.803388,47.432251,WA,Seattle,98161
-117.43185,47.663945,WA,Spokane,99201
-122.649953,47.626717,WA,Tracyton,98393
-120.33462,46.35653,WA,Toppenish,98948
-122.85123,46.797382,WA,Bucoda,98530
-122.41196,47.148269,WA,Tacoma,98445
-117.25912,47.646994,WA,Spokane,99206
-123.298384,46.571323,WA,Adna,98522
-122.69055,47.667257,WA,Silverdale,98383
-122.702393,46.978118,WA,East Olympia,98540
-122.45879,47.263971,WA,Tacoma,98403
-120.62421,46.406875,WA,Harrah,98933
-122.80083,46.433226,WA,Toledo,98591
-122.418495,47.308061,WA,Tacoma,98442
-123.40628,48.097144,WA,Port Angeles,98362
-122.33068,47.443756,WA,Seattle,98148
-122.32095,48.900256,WA,Everson,98247
-122.65346,46.593526,WA,Onalaska,98570
-122.3027,47.491327,WA,Seattle,98168
-123.06888,47.521614,WA,Lilliwaup,98555
-120.694658,46.56451,WA,Parker,98939
-122.66335,47.470971,WA,Port Orchard,98367
-118.63676,46.912194,WA,Lind,99341
-122.499139,47.51037,WA,Southworth,98386
-120.97097,46.71207,WA,Naches,98937
-122.7757,46.318482,WA,Silverlake,98645
-119.17443,46.843397,WA,Othello,99344
-118.95248,47.998468,WA,Elmer City,99124
-117.68812,47.583754,WA,Medical Lake,99022
-122.113223,47.066193,WA,Tacoma,98464
-119.160173,46.216706,WA,Kennewick,99536
-122.38803,47.538887,WA,Seattle,98136
-117.644337,46.838747,WA,Hooper,99333
-122.113223,47.066193,WA,Tacoma,98477
-120.47681,48.634796,WA,Mazama,98833
-122.36978,47.740886,WA,Seattle,98177
-122.65093,48.303774,WA,Oak Harbor,98277
-123.872972,48.18315,WA,Carlsborg,98324
-119.12107,46.581454,WA,Mesa,99343
-123.02057,48.612763,WA,Deer Harbor,98243
-122.37678,47.202874,WA,Tacoma,98443
-123.21175,47.446725,WA,Hoodsport,98548
-123.2739,47.054419,WA,Mccleary,98557
-122.38961,48.222046,WA,Stanwood,98292
-118.829153,46.828931,WA,Cunningham,99327
-122.25064,47.90296,WA,Everett,98204
-122.88566,46.150433,WA,Kelso,98626
-122.52294,47.12562,WA,Lakewood,98439
-122.11451,47.363382,WA,Kent,98042
-117.96015,46.669207,WA,Hay,99136
-122.21602,47.304221,WA,Auburn,98002
-121.803388,47.432251,WA,Kent,98035
-121.83053,47.530639,WA,Snoqualmie,98065
-117.431742,47.653568,WA,Spokane,99228
-118.70235,47.338736,WA,Odessa,99159
-122.34675,47.630648,WA,Seattle,98109
-122.35688,47.501753,WA,Seattle,98146
-121.803388,47.432251,WA,Seattle,98114
-117.4124,47.751674,WA,Spokane,99218
-117.644337,46.838747,WA,Saint John,99127
-118.18938,47.671143,WA,Davenport,99122
-118.13247,46.866805,WA,Benge,99105
-119.3827,47.646132,WA,Coulee City,99115
-119.67175,46.922079,WA,Royal City,99357
-124.30909,48.066605,WA,Beaver,98305
-117.49326,47.632573,WA,Spokane,99224
-119.16369,46.210957,WA,Kennewick,99336
-122.113223,47.066193,WA,Tacoma,98493
-122.98043,46.156082,WA,Longview,98632
-121.803388,47.432251,WA,Seattle,98129
-122.53051,47.74878,WA,Indianola,98342
-119.28312,47.417461,WA,Stratford,98853
-118.95554,47.721863,WA,Almira,99103
-117.431742,47.653568,WA,Spokane,99220
-121.28904,46.018228,WA,Glenwood,98619
-122.63493,47.629717,WA,Bremerton,98311
-122.21792,47.943468,WA,Everett,98203
-118.2897,48.92816,WA,Laurier,99146
-120.53102,46.595248,WA,Yakima,98902
-119.45276,48.528793,WA,Riverside,98849
-120.24261,48.488543,WA,Winthrop,98862
-122.43597,48.759079,WA,Bellingham,98226
-120.694658,46.56451,WA,Yakima,98904
-118.72647,48.657684,WA,Republic,99166
-122.57894,45.671806,WA,Vancouver,98662
-122.702393,46.978118,WA,Olympia,98508
-120.60457,47.552462,WA,Peshastin,98847
-122.78376,47.085046,WA,Olympia,98516
-122.8326,46.857968,WA,Tenino,98589
-118.11361,48.174649,WA,Hunters,99137
-117.7293,46.941628,WA,Endicott,99125
-122.520347,45.801586,WA,Vancouver,98667
-119.90423,47.63205,WA,Waterville,98858
-122.44856,48.030555,WA,Langley,98260
-121.24849,47.3042,WA,Easton,98925
-123.85214,46.560786,WA,South Bend,98586
-122.53272,47.230402,WA,Tacoma,98466
-122.33366,48.486892,WA,Burlington,98233
-118.8823,46.675704,WA,Connell,99326
-122.71293,47.564437,WA,Bremerton,98312
-119.094271,46.234957,WA,Pasco,99302
-122.058644,48.534462,WA,Lyman,98263
-121.988548,48.814753,WA,Blaine,98231
-122.28394,47.808816,WA,Lynnwood,98036
-122.49518,47.26302,WA,Tacoma,98406
-122.192276,47.369098,WA,Kent,98030
-117.59149,47.642922,WA,Airway Heights,99001
-122.39392,47.57487,WA,Seattle,98116
-120.19929,47.333821,WA,Malaga,98828
-122.30539,47.790969,WA,Mountlake Terrace,98043
-122.7599,48.036882,WA,Port Hadlock,98339
-122.57159,47.43025,WA,Olalla,98359
-117.37899,47.656692,WA,Spokane,99202
-121.803388,47.432251,WA,Seattle,98124
-122.335734,48.834208,WA,Nooksack,98276
-117.431742,47.653568,WA,Spokane,99256
-121.803388,47.432251,WA,Seattle,98138
-117.7671,48.658512,WA,Colville,99114
-122.96643,48.575362,WA,Shaw Island,98286
-121.417034,48.558127,WA,Bow,98246
-119.06531,47.907923,WA,Electric City,99123
-120.993126,47.221837,WA,Roslyn,98991
-121.48418,48.509814,WA,Rockport,98283
-122.92935,47.321442,WA,Grapeview,98546
-122.520347,45.801586,WA,Heisson,98622
-122.66054,46.352771,WA,Toutle,98649
-122.71309,47.720777,WA,Silverdale,98315
-122.482076,47.264577,WA,Tacoma,98416
-117.4111,48.736168,WA,Ione,99139
-120.5614,47.541723,WA,Dryden,98821
-121.803388,47.432251,WA,Redondo,98054
-122.80359,47.027082,WA,Lacey,98503
-122.35384,47.763669,WA,Shoreline,98113
-117.43979,47.69399,WA,Spokane,99205
-122.10205,47.758786,WA,Woodinville,98072
-121.803388,47.432251,WA,Renton,98057
-118.93303,48.810894,WA,Wauconda,98859
-117.39106,48.858688,WA,Metaline,99152
-121.803388,47.432251,WA,Seattle,98181
-120.12934,47.915227,WA,Manson,98831
-118.03661,47.863857,WA,Wellpinit,99040
-122.50433,47.28392,WA,Tacoma,98407
-122.56719,46.893352,WA,Yelm,98597
-121.19784,45.726451,WA,Lyle,98635
-122.45723,48.943476,WA,Lynden,98264
-117.31689,48.504786,WA,Cusick,99119
-120.573967,46.628757,WA,Yakima,98907
-124.25814,47.32251,WA,Taholah,98587
-122.70284,45.928662,WA,Woodland,98674
-122.46599,47.248953,WA,Tacoma,98405
-119.85868,47.18227,WA,Quincy,98848
-124.05022,46.365773,WA,Long Beach,98631
-122.92262,46.493247,WA,Winlock,98596
-117.24891,48.041663,WA,Elk,99009
-122.55585,46.955863,WA,Mckenna,98558
-122.23233,47.569271,WA,Mercer Island,98040
-121.91265,47.648232,WA,Carnation,98014
-122.32253,47.63287,WA,Seattle,98102
-122.97702,47.071484,WA,Olympia,98502
-122.353089,47.185462,WA,Waller,98731
-122.66658,48.699642,WA,Lummi Island,98262
-122.33357,47.60632,WA,Seattle,98154
-117.43916,47.740491,WA,Spokane,99208
-122.567631,47.151297,WA,Tacoma,98438
-122.62554,47.702342,WA,Keyport,98345
-117.431742,47.653568,WA,Spokane,99219
-117.30668,47.668926,WA,Spokane,99212
-122.41213,47.250681,WA,Tacoma,98421
-124.16027,47.118566,WA,Copalis Beach,98535
-121.66644,47.851713,WA,Gold Bar,98251
-122.113223,47.066193,WA,Tacoma,98415
-122.702393,46.978118,WA,Olympia,98599
-123.63765,48.102836,WA,Port Angeles,98363
-122.30081,47.58577,WA,Seattle,98144
-121.97167,45.650041,WA,North Bonneville,98639
-122.62371,47.58675,WA,Bremerton,98310
-122.113223,47.066193,WA,Paradise Inn,98398
-119.47909,46.263399,WA,Benton City,99320
-117.19597,46.983768,WA,Garfield,99130
