,zip code
0,98575.0
1,98068.0
2,98814.0
3,98638.0
4,98605.0
5,98948.0
6,98828.0
7,99001.0
8,98631.0
9,98439.0
10,98550.0
11,98266.0
12,99030.0
13,98591.0
14,99116.0
15,98315.0
16,98645.0
17,99323.0
18,98649.0
19,98582.0
20,98320.0
21,99111.0
22,99181.0
23,98571.0
24,98560.0
25,98845.0
26,98351.0
27,99036.0
28,99009.0
29,98557.0
30,98295.0
31,98279.0
32,98357.0
33,98421.0
34,98643.0
35,98548.0
36,99170.0
37,98325.0
38,99109.0
39,98542.0
40,99141.0
41,98624.0
42,98247.0
43,99320.0
44,99361.0
45,98385.0
46,98846.0
47,98595.0
48,99122.0
49,98941.0
50,98851.0
51,98936.0
52,98850.0
53,98932.0
54,98281.0
55,98663.0
56,98925.0
57,99135.0
58,99185.0
59,98537.0
60,98564.0
61,98849.0
62,99169.0
63,98951.0
64,98547.0
65,98937.0
66,98588.0
67,98823.0
68,99025.0
69,98363.0
70,99033.0
71,98651.0
72,98862.0
73,98538.0
74,99156.0
75,98251.0
76,98528.0
77,98611.0
78,98833.0
79,98443.0
80,99216.0
81,98243.0
82,98433.0
83,99133.0
84,98674.0
85,98626.0
86,98331.0
87,98648.0
88,99003.0
89,98337.0
90,98286.0
91,99180.0
92,98596.0
93,99204.0
94,99403.0
95,98360.0
96,99006.0
97,99114.0
98,98812.0
99,98620.0
100,98592.0
101,98947.0
102,99023.0
103,98239.0
104,98355.0
105,98346.0
106,98077.0
107,99027.0
108,98908.0
109,99115.0
110,98934.0
111,98446.0
112,98946.0
113,98261.0
114,98376.0
115,98801.0
116,98499.0
117,98635.0
118,99326.0
119,99337.0
120,99324.0
121,99148.0
122,99207.0
123,98831.0
124,98832.0
125,98844.0
126,98603.0
127,98601.0
128,98563.0
129,99021.0
130,99022.0
131,99217.0
132,98930.0
133,98520.0
134,98342.0
135,98380.0
136,98365.0
137,98354.0
138,98339.0
139,98383.0
140,98232.0
141,98003.0
142,98327.0
143,98252.0
144,98253.0
145,98241.0
146,98675.0
147,98375.0
148,99330.0
149,98359.0
150,99328.0
151,99206.0
152,98576.0
153,98010.0
154,98589.0
155,98264.0
156,98816.0
157,98672.0
158,98233.0
159,98236.0
160,98532.0
161,98660.0
162,98498.0
163,99037.0
164,98051.0
165,98465.0
166,98404.0
167,98524.0
168,98445.0
169,98950.0
170,98944.0
171,98002.0
172,99357.0
173,99016.0
174,98057.0
175,99163.0
176,98312.0
177,98333.0
178,98843.0
179,99005.0
180,98597.0
181,98942.0
182,98230.0
183,98847.0
184,98467.0
185,98685.0
186,98683.0
187,98270.0
188,98407.0
189,99201.0
190,99223.0
191,98338.0
192,99026.0
193,98371.0
194,98856.0
195,98155.0
196,98506.0
197,98047.0
198,99354.0
199,98903.0
200,99350.0
201,98362.0
202,98926.0
203,98072.0
204,98237.0
205,98240.0
206,98043.0
207,98134.0
208,98188.0
209,98671.0
210,98126.0
211,98684.0
212,98045.0
213,98664.0
214,98104.0
215,98102.0
216,99202.0
217,98133.0
218,98665.0
219,98802.0
220,98146.0
221,98178.0
222,98661.0
223,98902.0
224,98203.0
225,98058.0
226,98204.0
227,98030.0
228,98027.0
229,98826.0
230,98026.0
231,98148.0
232,98815.0
233,98953.0
234,98922.0
235,99004.0
236,98686.0
237,98841.0
238,98424.0
239,99203.0
240,98531.0
241,98014.0
242,98328.0
243,98332.0
244,99353.0
245,98335.0
246,98584.0
247,98340.0
248,98248.0
249,98604.0
250,98392.0
251,98349.0
252,98569.0
253,98366.0
254,99336.0
255,98372.0
256,98390.0
257,98374.0
258,98546.0
259,98382.0
260,98579.0
261,98405.0
262,98311.0
263,99344.0
264,99212.0
265,98629.0
266,98274.0
267,98271.0
268,98625.0
269,98275.0
270,98640.0
271,98632.0
272,98284.0
273,98282.0
274,99218.0
275,98292.0
276,98092.0
277,98612.0
278,99205.0
279,98294.0
280,98418.0
281,98444.0
282,98409.0
283,98006.0
284,98052.0
285,98087.0
286,98070.0
287,98075.0
288,98055.0
289,99362.0
290,99349.0
291,98074.0
292,99352.0
293,98005.0
294,98004.0
295,98059.0
296,98065.0
297,98053.0
298,98056.0
299,98038.0
300,99338.0
301,98023.0
302,99208.0
303,98021.0
304,98024.0
305,98020.0
306,99224.0
307,99301.0
308,98019.0
309,98028.0
310,98029.0
311,98007.0
312,98031.0
313,98012.0
314,98033.0
315,98034.0
316,98036.0
317,98037.0
318,98011.0
319,98039.0
320,98040.0
321,98008.0
322,98042.0
323,98032.0
324,98022.0
325,98208.0
326,98103.0
327,98577.0
328,98580.0
329,98329.0
330,98321.0
331,98310.0
332,98606.0
333,98607.0
334,98296.0
335,98290.0
336,98277.0
337,98273.0
338,98272.0
339,98642.0
340,98260.0
341,98258.0
342,98356.0
343,98257.0
344,98367.0
345,98370.0
346,98408.0
347,98406.0
348,98466.0
349,98501.0
350,98502.0
351,98503.0
352,98403.0
353,98512.0
354,98513.0
355,98516.0
356,98402.0
357,98391.0
358,98388.0
359,98387.0
360,98373.0
361,98368.0
362,98250.0
363,98249.0
364,98662.0
365,98122.0
366,98121.0
367,98119.0
368,98118.0
369,98117.0
370,98116.0
371,98115.0
372,98112.0
373,98110.0
374,98109.0
375,98108.0
376,98107.0
377,98106.0
378,98105.0
379,99019.0
380,98125.0
381,98136.0
382,98144.0
383,98901.0
384,98245.0
385,98682.0
386,98229.0
387,98226.0
388,98225.0
389,98223.0
390,98221.0
391,98101.0
392,98422.0
393,98201.0
394,98199.0
395,98198.0
396,98848.0
397,98177.0
398,98168.0
399,98166.0
400,98837.0
401,98001.0
