,DOL Transaction Date,Zip,Longitude,Latitude
31026,1/16/18 12:00 AM,98065,-121.83053,47.530639
103977,7/26/22 12:00 AM,98115,-122.30122,47.68382
97251,4/27/22 12:00 AM,98203,-122.21792,47.943468
14266,6/11/15 12:00 AM,98148,-122.33068,47.443756
84861,11/3/21 12:00 AM,98837,-119.28455,47.133606
42761,12/18/18 12:00 AM,98116,-122.39392,47.57487
87805,12/15/21 12:00 AM,98270,-122.1588,48.061269
85687,11/15/21 12:00 AM,98466,-122.53272,47.230402
89277,1/7/22 12:00 AM,98112,-122.29752,47.629653
8694,4/9/14 12:00 AM,98229,-122.435478,48.725417
63567,10/6/20 12:00 AM,98229,-122.435478,48.725417
44570,1/22/19 12:00 AM,98332,-122.60011,47.364321
84598,10/29/21 12:00 AM,98006,-122.1526,47.562975
74198,5/13/21 12:00 AM,98074,-122.045347,47.625364
60277,6/23/20 12:00 AM,98004,-122.20308,47.618371
22628,1/10/17 12:00 AM,98034,-122.19702,47.71828
36734,7/27/18 12:00 AM,98607,-122.40547,45.60916
9804,7/9/14 12:00 AM,98109,-122.34675,47.630648
88041,12/20/21 12:00 AM,98108,-122.31514,47.546188
18827,6/17/16 12:00 AM,98103,-122.34166,47.671346
3606,2/28/13 12:00 AM,99163,-117.18648,46.732705
38796,10/4/18 12:00 AM,98275,-122.30293,47.916148
36264,7/13/18 12:00 AM,98102,-122.32253,47.63287
2393,10/24/12 12:00 AM,98443,-122.37678,47.202874
22086,12/13/16 12:00 AM,98103,-122.34166,47.671346
2608,11/14/12 12:00 AM,98045,-121.73254,47.483057
63885,10/9/20 12:00 AM,98116,-122.39392,47.57487
15860,10/21/15 12:00 AM,98053,-122.03318,47.640972
56825,1/21/20 12:00 AM,98053,-122.03318,47.640972
48403,6/4/19 12:00 AM,98036,-122.28394,47.808816
93156,3/8/22 12:00 AM,98226,-122.43597,48.759079
78884,7/28/21 12:00 AM,98029,-122.02065,47.572401
5309,7/8/13 12:00 AM,98604,-122.51789,45.791345
67867,1/12/21 12:00 AM,98038,-122.03553,47.381989
59380,4/9/20 12:00 AM,98335,-122.60562,47.301252
28246,9/19/17 12:00 AM,98136,-122.38803,47.538887
60977,7/14/20 12:00 AM,98155,-122.30373,47.753019
75386,6/9/21 12:00 AM,98027,-122.02921,47.522828
537,7/21/11 12:00 AM,98010,-122.01479,47.317802
85219,11/9/21 12:00 AM,98021,-122.22021,47.790653
76633,6/30/21 12:00 AM,98837,-119.28455,47.133606
51390,8/28/19 12:00 AM,98087,-122.26,47.87
1736,6/21/12 12:00 AM,98033,-122.1934,47.67903
63480,9/30/20 12:00 AM,98040,-122.23233,47.569271
23524,2/22/17 12:00 AM,98251,-121.66644,47.851713
77477,7/13/21 12:00 AM,98208,-122.19797,47.893451
53314,10/15/19 12:00 AM,98040,-122.23233,47.569271
100317,6/16/22 12:00 AM,98564,-122.48668,46.50494
92614,2/23/22 12:00 AM,98516,-122.78376,47.085046
81321,9/8/21 12:00 AM,98422,-122.39835,47.296007
44882,1/28/19 12:00 AM,98409,-122.48053,47.208987
49047,6/21/19 12:00 AM,98122,-122.30406,47.61157
38265,9/21/18 12:00 AM,98926,-120.52364,47.009726
77301,7/8/21 12:00 AM,98001,-122.26608,47.303722
13988,5/28/15 12:00 AM,98229,-122.435478,48.725417
38841,10/4/18 12:00 AM,98178,-122.24664,47.497971
102250,7/12/22 12:00 AM,98223,-122.05288,48.203856
71254,4/1/21 12:00 AM,99224,-117.49326,47.632573
6866,10/24/13 12:00 AM,98684,-122.52023,45.627459
100642,6/24/22 12:00 AM,98569,-124.15607,46.983877
5098,6/19/13 12:00 AM,98296,-122.11068,47.846083
10586,9/4/14 12:00 AM,98424,-122.35916,47.242186
39668,10/19/18 12:00 AM,98136,-122.38803,47.538887
60586,7/7/20 12:00 AM,98225,-122.48508,48.747578
58872,3/31/20 12:00 AM,98029,-122.02065,47.572401
57084,1/22/20 12:00 AM,98070,-122.46821,47.416198
54514,11/22/19 12:00 AM,98070,-122.46821,47.416198
23680,3/2/17 12:00 AM,98502,-122.97702,47.071484
7279,11/26/13 12:00 AM,98409,-122.48053,47.208987
38608,10/2/18 12:00 AM,98133,-122.34461,47.733852
74043,5/11/21 12:00 AM,99019,-117.08628,47.656171
16532,12/21/15 12:00 AM,98329,-122.7222,47.378121
96276,4/15/22 12:00 AM,98607,-122.40547,45.60916
80444,8/20/21 12:00 AM,98663,-122.66162,45.647667
82865,10/7/21 12:00 AM,98105,-122.30118,47.66377
65587,11/13/20 12:00 AM,98121,-122.34578,47.61487
31608,2/7/18 12:00 AM,98282,-122.48209,48.185511
85073,11/9/21 12:00 AM,98391,-122.2,47.2
17348,2/26/16 12:00 AM,98006,-122.1526,47.562975
67219,12/30/20 12:00 AM,98665,-122.66712,45.681271
67390,1/4/21 12:00 AM,98335,-122.60562,47.301252
17719,3/31/16 12:00 AM,98075,-122.033685,47.584879
13270,3/27/15 12:00 AM,98004,-122.20308,47.618371
83471,10/14/21 12:00 AM,98502,-122.97702,47.071484
41560,11/28/18 12:00 AM,98332,-122.60011,47.364321
33489,4/24/18 12:00 AM,98008,-122.1155,47.609222
55456,1/2/20 12:00 AM,99352,-119.28137,46.279657
35730,6/22/18 12:00 AM,98033,-122.1934,47.67903
89083,1/6/22 12:00 AM,98686,-122.63419,45.712623
81406,9/8/21 12:00 AM,98011,-122.20257,47.751471
6204,9/12/13 12:00 AM,98053,-122.03318,47.640972
37044,8/8/18 12:00 AM,98033,-122.1934,47.67903
40433,11/2/18 12:00 AM,98375,-122.32247,47.112477
2684,11/21/12 12:00 AM,98144,-122.30081,47.58577
59023,3/31/20 12:00 AM,98936,-120.33322,46.540842
35253,6/11/18 12:00 AM,98501,-122.8819,47.014718
75440,6/10/21 12:00 AM,98406,-122.49518,47.26302
22373,12/29/16 12:00 AM,98338,-122.291,47.028423
12687,1/27/15 12:00 AM,98258,-122.06327,48.028355
55775,1/7/20 12:00 AM,98034,-122.19702,47.71828
12578,1/21/15 12:00 AM,98391,-122.2,47.2
39053,10/9/18 12:00 AM,98144,-122.30081,47.58577
25534,5/22/17 12:00 AM,98065,-121.83053,47.530639
65149,11/2/20 12:00 AM,98004,-122.20308,47.618371
79192,8/3/21 12:00 AM,99202,-117.37899,47.656692
27908,9/1/17 12:00 AM,99320,-119.47909,46.263399
11830,11/20/14 12:00 AM,98103,-122.34166,47.671346
3275,1/24/13 12:00 AM,98105,-122.30118,47.66377
26262,6/21/17 12:00 AM,98506,-122.87249,47.069339
46078,3/21/19 12:00 AM,98031,-122.19644,47.388461
71980,4/9/21 12:00 AM,98074,-122.045347,47.625364
11243,10/16/14 12:00 AM,98012,-122.20457,47.84311
9071,5/16/14 12:00 AM,98006,-122.1526,47.562975
85779,11/17/21 12:00 AM,99362,-118.3,46.1
14426,6/24/15 12:00 AM,98501,-122.8819,47.014718
75304,6/7/21 12:00 AM,98118,-122.27496,47.543348
17404,3/4/16 12:00 AM,98104,-122.32855,47.60252
84998,11/9/21 12:00 AM,98584,-123.10538,47.224044
36141,7/10/18 12:00 AM,98230,-122.73714,48.961443
34445,5/23/18 12:00 AM,98040,-122.23233,47.569271
70773,3/19/21 12:00 AM,98105,-122.30118,47.66377
30139,12/8/17 12:00 AM,98011,-122.20257,47.751471
40806,11/9/18 12:00 AM,98117,-122.37838,47.685919
100581,6/23/22 12:00 AM,98117,-122.37838,47.685919
104510,8/2/22 12:00 AM,98584,-123.10538,47.224044
12824,2/5/15 12:00 AM,98004,-122.20308,47.618371
90942,2/1/22 12:00 AM,98115,-122.30122,47.68382
101951,7/7/22 12:00 AM,98501,-122.8819,47.014718
97266,4/28/22 12:00 AM,98684,-122.52023,45.627459
84930,11/5/21 12:00 AM,98686,-122.63419,45.712623
4521,5/14/13 12:00 AM,98651,-121.57558,45.730656
13466,4/10/15 12:00 AM,98208,-122.19797,47.893451
98583,5/23/22 12:00 AM,98117,-122.37838,47.685919
66947,12/18/20 12:00 AM,98115,-122.30122,47.68382
41497,11/21/18 12:00 AM,98040,-122.23233,47.569271
44568,1/22/19 12:00 AM,98320,-122.92868,47.705616
33572,4/26/18 12:00 AM,98020,-122.37096,47.803668
91774,2/16/22 12:00 AM,98335,-122.60562,47.301252
40783,11/9/18 12:00 AM,98024,-121.88638,47.565642
96813,4/26/22 12:00 AM,98148,-122.33068,47.443756
38094,9/18/18 12:00 AM,98038,-122.03553,47.381989
94358,3/25/22 12:00 AM,98682,-122.51319,45.67309
78956,7/28/21 12:00 AM,98648,-121.91332,45.669604
66998,12/22/20 12:00 AM,98070,-122.46821,47.416198
86947,12/6/21 12:00 AM,98028,-122.24736,47.75287
3730,3/15/13 12:00 AM,98112,-122.29752,47.629653
75471,6/10/21 12:00 AM,98074,-122.045347,47.625364
42309,12/11/18 12:00 AM,98103,-122.34166,47.671346
8061,1/31/14 12:00 AM,98292,-122.38961,48.222046
31255,1/23/18 12:00 AM,98247,-122.32095,48.900256
54682,12/5/19 12:00 AM,98312,-122.71293,47.564437
23855,3/9/17 12:00 AM,98648,-121.91332,45.669604
78711,7/27/21 12:00 AM,98074,-122.045347,47.625364
10105,7/30/14 12:00 AM,98072,-122.10205,47.758786
