,week,zipcode,date,Longitude,Latitude,State,City,Zip,data_avail
0,1,98501,1/4/11 12:00 AM,-122.8819,47.014718,WA,Olympia,98501,1
3,7,98296,2/23/11 12:00 AM,-122.11068,47.846083,WA,Snohomish,98296,1
7,16,98409,4/28/11 12:00 AM,-122.48053,47.208987,WA,Tacoma,98409,1
8,20,98105,5/20/11 12:00 AM,-122.30118,47.66377,WA,Seattle,98105,1
21,27,98272,7/10/11 12:00 AM,-121.93734,47.860245,WA,Monroe,98272,1
29,32,98115,8/13/11 12:00 AM,-122.30122,47.68382,WA,Seattle,98115,1
40,36,98119,9/15/11 12:00 AM,-122.36694,47.63877,WA,Seattle,98119,1
49,43,98264,11/4/11 12:00 AM,-122.45723,48.943476,WA,Lynden,98264,1
50,48,98055,12/4/11 12:00 AM,-122.21005,47.467422,WA,Renton,98055,1
54,50,98370,12/16/11 12:00 AM,-122.63041,47.743302,WA,Poulsbo,98370,1
56,51,98405,12/22/11 12:00 AM,-122.46599,47.248953,WA,Tacoma,98405,1
58,56,99223,1/28/12 12:00 AM,-117.35892,47.614744,WA,Spokane,99223,1
63,61,99027,2/27/12 12:00 AM,-117.12007,47.703698,WA,Otis Orchards,99027,1
64,71,98579,5/8/12 12:00 AM,-123.08647,46.814438,WA,Rochester,98579,1
65,75,98022,6/13/12 12:00 AM,-121.91915,47.193729,WA,Enumclaw,98022,1
66,78,98925,6/28/12 12:00 AM,-121.24849,47.3042,WA,Easton,98925,1
67,80,98332,7/15/12 12:00 AM,-122.60011,47.364321,WA,Gig Harbor,98332,1
70,87,98638,8/28/12 12:00 AM,-123.76506,46.370075,WA,Naselle,98638,1
71,88,98104,9/5/12 12:00 AM,-122.32855,47.60252,WA,Seattle,98104,1
76,99,98199,11/22/12 12:00 AM,-122.39758,47.64767,WA,Seattle,98199,1
84,102,98011,12/20/12 12:00 AM,-122.20257,47.751471,WA,Bothell,98011,1
87,113,98604,3/1/13 12:00 AM,-122.51789,45.791345,WA,Battle Ground,98604,1
89,118,98683,4/3/13 12:00 AM,-122.51035,45.604075,WA,Vancouver,98683,1
88,118,98273,4/7/13 12:00 AM,-122.35196,48.414576,WA,Mount Vernon,98273,1
41,119,98119,4/15/13 12:00 AM,-122.36694,47.63877,WA,Seattle,98119,1
98,129,98126,6/16/13 12:00 AM,-122.3748,47.54687,WA,Seattle,98126,1
104,130,98576,7/2/13 12:00 AM,-122.67573,46.871178,WA,Rainier,98576,1
105,132,98125,7/7/13 12:00 AM,-122.30308,47.716648,WA,Seattle,98125,1
57,135,98405,8/3/13 12:00 AM,-122.46599,47.248953,WA,Tacoma,98405,1
111,138,98122,8/30/13 12:00 AM,-122.30406,47.61157,WA,Seattle,98122,1
116,142,98597,9/15/13 12:00 AM,-122.56719,46.893352,WA,Yelm,98597,1
119,142,98223,9/18/13 12:00 AM,-122.05288,48.203856,WA,Arlington,98223,1
9,153,98105,12/13/13 12:00 AM,-122.30118,47.66377,WA,Seattle,98105,1
120,163,98012,2/11/14 12:00 AM,-122.20457,47.84311,WA,Bothell,98012,1
126,167,98253,3/18/14 12:00 AM,-122.57129,48.085852,WA,Greenbank,98253,1
128,168,98031,3/20/14 12:00 AM,-122.19644,47.388461,WA,Kent,98031,1
133,172,98117,4/13/14 12:00 AM,-122.37838,47.685919,WA,Seattle,98117,1
138,176,98112,5/17/14 12:00 AM,-122.29752,47.629653,WA,Seattle,98112,1
10,186,98105,7/27/14 12:00 AM,-122.30118,47.66377,WA,Seattle,98105,1
142,189,98108,8/12/14 12:00 AM,-122.31514,47.546188,WA,Seattle,98108,1
30,189,98115,8/21/14 12:00 AM,-122.30122,47.68382,WA,Seattle,98115,1
139,190,98112,8/27/14 12:00 AM,-122.29752,47.629653,WA,Seattle,98112,1
144,193,98674,9/14/14 12:00 AM,-122.70284,45.928662,WA,Woodland,98674,1
4,200,98296,10/27/14 12:00 AM,-122.11068,47.846083,WA,Snohomish,98296,1
145,206,98002,12/10/14 12:00 AM,-122.21602,47.304221,WA,Auburn,98002,1
146,207,98512,12/16/14 12:00 AM,-122.99802,46.969793,WA,Olympia,98512,1
148,210,98106,1/11/15 12:00 AM,-122.35443,47.53282,WA,Seattle,98106,1
154,214,99217,2/7/15 12:00 AM,-117.33776,47.707542,WA,Spokane,99217,1
117,217,98597,2/22/15 12:00 AM,-122.56719,46.893352,WA,Yelm,98597,1
155,216,98498,2/23/15 12:00 AM,-122.55877,47.16062,WA,Lakewood,98498,1
157,219,98335,3/16/15 12:00 AM,-122.60562,47.301252,WA,Gig Harbor,98335,1
55,223,98370,4/10/15 12:00 AM,-122.63041,47.743302,WA,Poulsbo,98370,1
158,223,98040,4/16/15 12:00 AM,-122.23233,47.569271,WA,Mercer Island,98040,1
90,231,98683,6/1/15 12:00 AM,-122.51035,45.604075,WA,Vancouver,98683,1
162,232,99212,6/14/15 12:00 AM,-117.30668,47.668926,WA,Spokane,99212,1
164,239,98166,7/28/15 12:00 AM,-122.34943,47.458821,WA,Seattle,98166,1
168,240,98053,8/10/15 12:00 AM,-122.03318,47.640972,WA,Redmond,98053,1
173,241,98030,8/13/15 12:00 AM,-122.192276,47.369098,WA,Kent,98030,1
171,241,99362,8/18/15 12:00 AM,-118.3,46.1,WA,Walla Walla,99362,1
175,251,98036,10/18/15 12:00 AM,-122.28394,47.808816,WA,Lynnwood,98036,1
179,252,98661,10/30/15 12:00 AM,-122.62846,45.63873,WA,Vancouver,98661,1
184,254,98499,11/10/15 12:00 AM,-122.50844,47.16632,WA,Lakewood,98499,1
11,257,98105,12/9/15 12:00 AM,-122.30118,47.66377,WA,Seattle,98105,1
140,258,98112,12/17/15 12:00 AM,-122.29752,47.629653,WA,Seattle,98112,1
22,275,98272,4/9/16 12:00 AM,-121.93734,47.860245,WA,Monroe,98272,1
91,275,98683,4/9/16 12:00 AM,-122.51035,45.604075,WA,Vancouver,98683,1
186,282,98026,6/2/16 12:00 AM,-122.33651,47.821568,WA,Edmonds,98026,1
