,DOL Transaction Date,County,Postal Code,week
0,2011-04-28,King,98005,16
1,2011-06-08,King,98052,22
2,2011-06-21,King,98074,24
3,2011-06-28,Pierce,98409,25
4,2011-10-07,San Juan,98250,39
5,2011-11-03,King,98104,43
6,2011-11-09,Whatcom,98230,44
7,2011-12-02,King,98053,47
8,2012-01-17,King,98052,54
9,2012-02-08,Mason,98528,57
10,2012-03-22,Snohomish,98271,63
11,2012-06-11,King,98092,75
12,2012-06-13,King,98121,75
13,2012-10-12,Benton,99336,92
14,2012-10-23,Snohomish,98258,94
15,2012-11-13,Whatcom,98226,97
16,2012-11-30,King,98126,99
17,2012-12-07,Snohomish,98072,100
18,2012-12-05,King,98059,100
19,2013-01-03,Pierce,98328,104
20,2012-12-31,Snohomish,98012,104
21,2013-01-08,King,98004,105
22,2013-01-18,King,98045,106
23,2013-02-15,Pierce,98394,110
24,2013-04-12,Clark,98686,118
25,2013-05-03,King,98052,121
26,2013-05-10,King,98055,122
27,2013-05-17,Pierce,98092,123
28,2013-06-04,King,98112,126
29,2013-06-14,King,98006,127
30,2013-06-11,King,98199,127
31,2013-06-14,King,98199,127
32,2013-08-08,Thurston,98516,135
33,2013-08-22,King,98008,137
34,2013-09-11,King,98056,140
35,2013-09-25,King,98034,142
36,2013-10-11,Skagit,98274,144
37,2013-10-08,Snohomish,98087,144
38,2013-10-28,Mason,98584,147
39,2013-10-29,Pierce,98391,147
40,2013-11-25,King,98177,151
41,2013-12-03,King,98115,152
42,2013-12-11,King,98027,153
43,2014-01-16,King,98115,158
44,2014-02-25,King,98019,164
45,2014-03-10,Snohomish,98021,166
46,2014-04-08,King,98042,170
47,2014-04-17,King,98008,171
48,2014-04-18,King,98075,171
49,2014-06-17,Snohomish,98012,180
50,2014-06-26,King,98075,181
51,2014-07-30,King,98065,186
52,2014-08-01,Island,98282,186
53,2014-08-04,Skagit,98221,187
54,2014-08-05,King,98038,187
55,2014-08-28,King,98074,190
56,2014-09-19,King,98042,193
57,2014-10-09,Spokane,99005,196
58,2014-10-10,King,98053,196
59,2014-10-31,Pierce,98329,199
60,2014-11-06,King,98074,200
61,2014-11-13,King,98053,201
62,2014-12-03,King,98052,204
63,2014-12-09,King,98101,205
64,2014-12-08,San Juan,98245,205
65,2014-12-09,King,98199,205
66,2014-12-22,King,98040,207
67,2014-12-30,Jefferson,98368,208
68,2015-01-08,Snohomish,98271,209
69,2015-01-14,Skagit,98221,210
70,2015-03-26,King,98038,220
71,2015-03-27,King,98051,220
72,2015-04-09,Skamania,98648,222
73,2015-04-24,King,98144,224
74,2015-05-01,King,98004,225
75,2015-05-22,Kitsap,98366,228
76,2015-06-01,Kitsap,98342,230
77,2015-06-18,Snohomish,98036,232
78,2015-06-24,King,98122,233
79,2015-06-29,King,98029,234
80,2015-07-15,Snohomish,98275,236
81,2015-07-15,King,98102,236
82,2015-07-15,King,98168,236
83,2015-07-24,King,98001,237
84,2015-08-20,Snohomish,98021,241
85,2015-08-25,King,98040,242
86,2015-09-16,King,98103,245
87,2015-10-19,Snohomish,98043,250
88,2015-11-09,Snohomish,98271,253
89,2016-02-12,King,98199,266
90,2016-03-14,King,98104,271
91,2016-04-12,King,98105,275
92,2016-04-21,King,98199,276
93,2016-04-27,Pierce,98444,277
94,2016-05-05,King,98029,278
95,2016-05-11,Thurston,98501,279
96,2016-06-07,King,98029,283
97,2016-06-15,Snohomish,98296,284
98,2016-06-22,King,98040,285
99,2016-07-19,King,98033,289
100,2016-09-14,King,98104,297
101,2016-10-05,King,98065,300
102,2016-10-06,Snohomish,98036,300
103,2016-10-07,King,98112,300
104,2016-10-19,King,98014,302
105,2016-10-18,King,98109,302
106,2016-11-21,Whatcom,98225,307
107,2017-01-03,Clark,98660,313
108,2017-02-02,Clark,98661,317
109,2017-02-10,Walla Walla,99362,318
110,2017-02-24,Spokane,99206,320
111,2017-03-02,Snohomish,98272,321
112,2017-04-07,King,98177,326
113,2017-05-15,King,98053,332
114,2017-05-22,King,98053,333
115,2017-06-29,King,98006,338
116,2017-06-28,King,98002,338
117,2017-07-03,Snohomish,98204,339
118,2017-07-03,King,98074,339
119,2017-07-21,Yakima,98902,341
120,2017-07-20,King,98038,341
121,2017-07-26,King,98112,342
122,2017-08-09,Snohomish,98203,344
123,2017-08-15,King,98072,345
124,2017-08-21,King,98040,346
125,2017-09-01,Benton,99353,347
126,2017-09-19,King,98052,350
127,2017-09-19,King,98166,350
128,2017-09-25,Snohomish,98021,351
129,2017-10-19,King,98072,354
130,2017-10-25,King,98074,355
131,2017-10-26,King,98034,355
132,2017-12-08,Thurston,98506,361
133,2017-12-11,King,98004,362
134,2017-12-20,Thurston,98506,363
135,2018-01-18,King,98070,367
136,2018-03-05,King,98136,374
137,2018-03-15,King,98006,375
138,2018-03-16,King,98052,375
139,2018-03-12,Thurston,98502,375
140,2018-03-14,Snohomish,98036,375
141,2018-03-22,King,98125,376
142,2018-04-07,Clark,98682,379
143,2018-04-16,Yakima,98942,380
144,2018-04-18,King,98052,380
145,2018-04-27,King,98014,381
146,2018-04-27,King,98103,381
147,2018-05-01,King,98144,382
148,2018-05-08,King,98040,383
149,2018-05-31,Snohomish,98290,386
150,2018-06-06,King,98105,387
151,2018-06-12,Jefferson,98368,388
152,2018-06-19,Spokane,99203,389
153,2018-06-27,Clark,98606,390
154,2018-06-29,King,98074,390
155,2018-07-13,King,98112,392
156,2018-07-12,Snohomish,98208,392
157,2018-07-23,Kitsap,98367,394
158,2018-08-09,King,98001,396
159,2018-08-17,King,98058,397
160,2018-08-16,Whatcom,98262,397
161,2018-08-23,King,98117,398
162,2018-08-28,King,98126,399
163,2018-09-05,King,98040,400
164,2018-09-20,King,98075,402
165,2018-09-21,Yakima,98901,402
166,2018-09-28,King,98109,403
167,2018-10-04,King,98103,404
168,2018-10-02,Pierce,98387,404
169,2018-10-02,King,98177,404
170,2018-10-09,Pierce,98465,405
171,2018-10-17,King,98040,406
172,2018-10-22,Snohomish,98012,407
173,2018-10-26,King,98146,407
174,2018-10-24,King,98102,407
175,2018-10-26,King,98006,407
176,2018-11-02,King,98008,408
177,2018-10-30,Thurston,98502,408
178,2018-11-02,Snohomish,98036,408
179,2018-11-08,Snohomish,98290,409
180,2018-11-06,King,98072,409
181,2018-11-13,King,98075,410
182,2018-11-14,Whatcom,98230,410
183,2018-11-21,King,98146,411
184,2018-11-26,King,98055,412
185,2018-11-30,Spokane,99203,412
186,2018-11-30,King,98109,412
187,2018-12-05,King,98115,413
188,2018-12-13,King,98119,414
189,2018-12-12,King,98040,414
190,2018-12-21,King,98107,415
191,2018-12-18,Jefferson,98339,415
192,2018-12-26,Skagit,98221,416
193,2018-12-28,King,98106,416
194,2019-01-04,King,98004,417
195,2019-01-02,King,98038,417
196,2019-01-10,King,98038,418
197,2019-01-09,Snohomish,98290,418
198,2019-01-09,King,98059,418
199,2019-01-08,Mason,98584,418
200,2019-01-18,King,98102,419
201,2019-01-16,Snohomish,98087,419
202,2019-01-22,King,98199,420
203,2019-01-25,Clark,98607,420
204,2019-01-23,Pacific,98614,420
205,2019-01-25,Snohomish,98012,420
206,2019-02-08,King,98004,422
207,2019-03-06,Thurston,98501,426
208,2019-03-27,Thurston,98502,429
209,2019-04-05,Thurston,98502,430
210,2019-04-10,King,98119,431
211,2019-04-18,King,98118,432
212,2019-04-18,King,98004,432
213,2019-04-23,King,98125,433
214,2019-04-29,King,98109,434
215,2019-05-17,King,98146,436
216,2019-05-24,Pierce,98466,437
217,2019-05-24,King,98052,437
218,2019-05-29,King,98166,438
219,2019-06-18,Snohomish,98296,441
220,2019-06-26,Snohomish,98203,442
221,2019-06-28,Snohomish,98087,442
222,2019-07-02,Snohomish,98258,443
223,2019-07-26,King,98109,446
224,2019-07-26,King,98103,446
225,2019-07-31,King,98144,447
226,2019-07-30,Pierce,98335,447
227,2019-08-08,Kitsap,98359,448
228,2019-09-05,King,98065,452
229,2019-09-06,King,98040,452
230,2019-09-11,King,98029,453
231,2019-09-24,Pierce,98387,455
232,2019-10-05,Adams,99344,457
233,2019-10-18,King,98126,458
234,2019-10-15,Pierce,98407,458
235,2019-10-15,King,98033,458
236,2019-10-17,King,98112,458
237,2019-10-15,King,98053,458
238,2019-10-21,San Juan,98250,459
239,2019-11-01,King,98034,460
240,2019-11-14,Spokane,99026,462
241,2019-11-19,King,98134,463
242,2019-12-05,King,98104,465
243,2019-12-20,Snohomish,98272,467
244,2019-12-24,King,98052,468
245,2019-12-31,King,98115,469
246,2020-01-07,Kitsap,98383,470
247,2020-01-10,King,98101,470
248,2020-01-07,King,98075,470
249,2020-01-24,King,98052,472
250,2020-01-22,King,98010,472
251,2020-03-12,Pierce,98391,479
252,2020-03-13,King,98103,479
253,2020-03-19,Snohomish,98012,480
254,2020-03-19,King,98033,480
255,2020-03-31,Pierce,98407,482
256,2020-04-02,King,98072,482
257,2020-04-02,King,98118,482
258,2020-03-31,King,98115,482
259,2020-03-31,King,98109,482
260,2020-05-08,King,98112,487
261,2020-05-21,Pierce,98580,489
262,2020-05-29,King,98074,490
263,2020-06-25,King,98059,494
264,2020-06-29,King,98011,495
265,2020-07-10,King,98121,496
266,2020-07-23,Chelan,98801,498
267,2020-07-23,King,98109,498
268,2020-07-24,Snohomish,98021,498
269,2020-08-06,King,98033,500
270,2020-08-21,King,98065,502
271,2020-08-26,King,98116,503
272,2020-09-04,King,98011,504
273,2020-09-09,King,98199,505
274,2020-09-17,King,98059,506
275,2020-09-14,King,98023,506
276,2020-09-15,Pierce,98406,506
277,2020-09-23,Pierce,98333,507
278,2020-09-23,King,98040,507
279,2020-10-13,Snohomish,98021,510
280,2020-10-21,King,98039,511
281,2020-10-19,King,98052,511
282,2020-10-30,Pierce,98405,512
283,2020-10-29,Whatcom,98230,512
284,2020-11-02,Pierce,98332,513
285,2020-11-02,Pierce,98391,513
286,2020-11-06,King,98118,513
287,2020-11-02,Walla Walla,99362,513
288,2020-11-02,King,98029,513
289,2020-11-02,King,98103,513
290,2020-11-12,King,98112,514
291,2020-11-13,King,98032,514
292,2020-11-19,King,98103,515
293,2020-11-19,King,98074,515
294,2020-11-25,Pierce,98499,516
295,2020-11-24,King,98039,516
296,2020-11-25,Kitsap,98359,516
297,2020-12-16,King,98118,519
298,2020-12-16,King,98198,519
299,2021-01-07,King,98102,522
300,2021-01-07,King,98108,522
301,2021-01-07,King,98117,522
302,2021-01-06,King,98028,522
303,2021-01-12,Pierce,98327,523
304,2021-01-12,King,98008,523
305,2021-01-13,Clark,98683,523
306,2021-01-15,King,98199,523
307,2021-01-19,Kitsap,98110,524
308,2021-01-26,Snohomish,98012,525
309,2021-01-26,King,98155,525
310,2021-02-04,King,98115,526
311,2021-02-04,Clark,98642,526
312,2021-02-09,Island,98249,527
313,2021-02-09,Chelan,98826,527
314,2021-02-25,King,98092,529
315,2021-02-25,Pierce,98360,529
316,2021-03-18,Clark,98661,532
317,2021-03-17,Pierce,98332,532
318,2021-03-24,Thurston,98589,533
319,2021-04-07,King,98045,535
320,2021-04-07,Clark,98661,535
321,2021-04-07,King,98075,535
322,2021-04-13,Spokane,99208,536
323,2021-04-23,King,98155,537
324,2021-04-21,King,98029,537
325,2021-04-27,King,98004,538
326,2021-04-27,King,98146,538
327,2021-04-27,King,98118,538
328,2021-05-07,Snohomish,98272,539
329,2021-05-03,King,98108,539
330,2021-05-14,Snohomish,98021,540
331,2021-05-18,Snohomish,98272,541
332,2021-05-24,Clark,98686,542
333,2021-05-26,Pierce,98443,542
334,2021-06-04,King,98005,543
335,2021-06-17,Skagit,98267,545
336,2021-06-18,Kitsap,98370,545
337,2021-06-25,Mason,98584,546
338,2021-06-22,King,98104,546
339,2021-07-02,King,98008,547
340,2021-07-07,Whatcom,98226,548
341,2021-07-07,Clark,98684,548
342,2021-07-15,King,98102,549
343,2021-07-15,King,98108,549
344,2021-07-21,Pierce,98321,550
345,2021-07-20,Snohomish,98087,550
346,2021-07-23,King,98004,550
347,2021-07-27,Benton,99320,551
348,2021-07-27,Pierce,98391,551
349,2021-07-27,Clark,98682,551
350,2021-08-03,King,98052,552
351,2021-08-03,King,98133,552
352,2021-08-03,King,98074,552
353,2021-08-05,Skagit,98274,552
354,2021-08-05,Klickitat,98672,552
355,2021-08-11,Pierce,98407,553
356,2021-08-13,Snohomish,98036,553
357,2021-08-10,King,98108,553
358,2021-08-10,King,98119,553
359,2021-08-19,King,98052,554
360,2021-08-23,King,98168,555
361,2021-08-25,King,98033,555
362,2021-09-15,King,98102,558
363,2021-09-21,Pierce,98375,559
364,2021-09-21,Pierce,98404,559
365,2021-09-21,King,98119,559
366,2021-10-01,Snohomish,98012,560
367,2021-10-08,King,98108,561
368,2021-10-08,King,98178,561
369,2021-10-08,King,98199,561
370,2021-10-14,King,98065,562
371,2021-10-12,King,98033,562
372,2021-10-15,King,98125,562
373,2021-10-22,King,98004,563
374,2021-10-21,Pierce,98422,563
375,2021-10-26,Pierce,98372,564
376,2021-11-03,Clark,98682,565
377,2021-11-12,King,98029,566
378,2021-11-19,Island,98249,567
379,2021-11-17,King,98014,567
380,2021-11-16,King,98106,567
381,2021-11-24,King,98006,568
382,2021-11-22,Pierce,98335,568
383,2021-11-30,King,98059,569
384,2021-12-07,Snohomish,98292,570
385,2021-12-07,King,98125,570
386,2021-12-07,King,98199,570
387,2021-12-15,Snohomish,98201,571
