,week,zipcode
0,87,98638
1,358,98439
2,568,98941
3,78,98925
4,351,98363
5,480,98363
6,193,98674
7,449,98626
8,311,98337
9,291,98360
10,288,98077
11,536,98077
12,61,99027
13,667,98908
14,530,98446
15,307,98801
16,435,98499
17,254,98499
18,676,99326
19,563,99337
20,628,98601
21,214,99217
22,671,98365
23,455,98383
24,360,98383
25,392,98003
26,500,98003
27,663,98003
28,287,98327
29,396,98253
30,167,98253
31,622,98241
32,371,98375
33,130,98576
34,331,98589
35,43,98264
36,665,98233
37,647,98498
38,216,98498
39,638,99037
40,571,98445
41,614,98445
42,206,98002
43,662,99016
44,595,99016
45,456,98312
46,617,98312
47,142,98597
48,615,98597
49,217,98597
50,231,98683
51,644,98683
52,118,98683
53,545,98683
54,275,98683
55,351,98683
56,573,98683
57,326,98683
58,369,98683
59,579,98270
60,543,98407
61,554,99223
62,598,99223
63,56,99223
64,529,99223
65,484,99223
66,302,98338
67,639,98338
68,642,99026
69,448,98371
70,407,98371
71,681,98371
72,558,98371
73,420,98371
74,660,98155
75,548,98155
76,588,98155
77,488,98155
78,366,98155
79,324,98155
80,562,98155
81,367,98506
82,373,99354
83,673,99354
84,129,98126
85,337,98126
86,667,98126
87,603,98126
88,575,98126
89,529,98126
90,555,98104
91,322,98104
92,657,98104
93,629,98104
94,88,98104
95,635,98102
96,544,98102
97,585,98102
98,355,98102
99,571,98133
100,681,98133
101,466,98133
102,447,98133
103,621,98133
104,473,98133
105,618,98133
106,484,98133
107,628,98133
108,561,98178
109,509,98178
110,618,98661
111,548,98661
112,252,98661
113,663,98661
114,612,98661
115,604,98203
116,600,98203
117,486,98203
118,579,98058
119,649,98058
120,612,98058
121,386,98058
122,484,98204
123,559,98204
124,548,98204
125,481,98204
126,680,98204
127,241,98030
128,656,98030
129,472,98027
130,282,98026
131,661,98026
132,386,98026
133,430,98026
134,470,98026
135,608,98026
136,363,98026
137,517,98026
138,593,98148
139,467,99004
140,594,99203
141,453,99203
142,545,99203
143,614,99203
144,504,98332
145,80,98332
146,365,98332
147,219,98335
148,405,98584
149,537,98584
150,628,98584
151,610,98584
152,113,98604
153,666,98392
154,385,98374
155,659,98374
156,621,98374
157,510,98382
158,71,98579
159,135,98405
160,51,98405
161,308,98311
162,613,98311
163,530,99212
164,232,99212
165,578,98629
166,656,98271
167,393,98271
168,494,98292
169,487,98092
170,596,98092
171,604,98444
172,441,98444
173,353,98444
174,475,98444
175,551,98444
176,16,98409
177,459,98006
178,367,98006
179,572,98006
180,473,98006
181,487,98052
182,337,98052
183,578,98052
184,491,98052
185,513,98052
186,672,98052
187,361,98052
188,394,98052
189,529,98052
190,576,98052
191,620,98052
192,334,98052
193,512,98052
194,588,98052
195,664,98052
196,350,98052
197,552,98087
198,641,98075
199,615,98075
200,574,98075
201,612,98055
202,631,98055
203,585,98055
204,48,98055
205,241,99362
206,477,99362
207,595,98074
208,468,98005
209,384,98005
210,651,98005
211,469,98005
212,323,98005
213,623,98004
214,476,98004
215,495,98004
216,520,98004
217,554,98004
218,506,98004
219,538,98004
220,543,98059
221,660,98059
222,604,98059
223,566,98059
224,543,98059
225,499,98065
226,468,98053
227,562,98053
228,240,98053
229,340,98038
230,445,98038
231,474,98023
232,654,98023
233,671,98021
234,630,98020
235,540,98020
236,418,99224
237,652,99224
238,470,98019
239,605,98019
240,683,98028
241,627,98029
242,404,98029
243,351,98029
244,443,98029
245,470,98007
246,660,98007
247,168,98031
248,657,98031
249,646,98031
250,556,98031
251,485,98031
252,163,98012
253,554,98012
254,308,98012
255,674,98012
256,342,98012
257,298,98012
258,636,98033
259,527,98033
260,580,98034
261,537,98034
262,660,98034
263,646,98034
264,579,98036
265,251,98036
266,654,98036
267,436,98036
268,102,98011
269,433,98011
270,661,98011
271,548,98039
272,662,98040
273,488,98040
274,223,98040
275,419,98040
276,568,98008
277,602,98008
278,572,98008
279,613,98008
280,660,98042
281,670,98032
282,75,98022
283,588,98208
284,606,98208
285,404,98208
286,568,98103
287,428,98103
288,663,98103
289,380,98103
290,510,98103
291,617,98103
292,337,98103
293,526,98103
294,590,98103
295,614,98103
296,616,98103
297,482,98103
298,337,98103
299,668,98329
300,643,98321
301,518,98310
302,649,98310
303,659,98310
304,402,98607
305,200,98296
306,373,98296
307,7,98296
308,461,98296
309,635,98277
310,118,98273
311,394,98272
312,300,98272
313,365,98272
314,275,98272
315,27,98272
316,660,98272
317,591,98272
318,511,98272
319,666,98642
320,497,98367
321,369,98367
322,223,98370
323,50,98370
324,506,98466
325,678,98466
326,589,98501
327,1,98501
328,373,98501
329,543,98503
330,207,98512
331,574,98512
332,566,98391
333,592,98391
334,472,98391
335,541,98391
336,520,98391
337,650,98387
338,582,98662
339,138,98122
340,654,98122
341,543,98122
342,604,98122
343,672,98122
344,470,98121
345,491,98119
346,667,98119
347,36,98119
348,119,98119
349,328,98119
350,675,98119
351,664,98119
352,477,98119
353,595,98119
354,511,98118
355,613,98118
356,673,98118
357,313,98118
358,608,98117
359,415,98117
360,649,98117
361,172,98117
362,416,98117
363,328,98116
364,674,98115
365,472,98115
366,496,98115
367,665,98115
368,189,98115
369,599,98115
370,541,98115
371,32,98115
372,512,98115
373,633,98115
374,383,98115
375,258,98112
376,176,98112
377,497,98112
378,190,98112
379,442,98110
380,681,98110
381,644,98110
382,483,98109
383,470,98109
384,635,98109
385,376,98109
386,624,98109
387,577,98108
388,189,98108
389,572,98107
390,210,98106
391,651,98106
392,351,98106
393,363,98106
394,646,98106
395,611,98106
396,579,98105
397,593,98105
398,411,98105
399,395,98105
400,433,98105
401,153,98105
402,613,98105
403,20,98105
404,648,98105
405,257,98105
406,682,98105
407,186,98105
408,425,98105
409,652,99019
410,423,98125
411,534,98125
412,583,98125
413,132,98125
414,439,98125
415,678,98125
416,346,98136
417,467,98144
418,561,98144
419,489,98144
420,682,98144
421,637,98144
422,673,98144
423,645,98226
424,484,98226
425,385,98226
426,632,98226
427,142,98223
428,638,98101
429,635,98101
430,641,98101
431,563,98422
432,625,98199
433,394,98199
434,99,98199
435,542,98199
436,449,98199
437,636,98199
438,637,98199
439,668,98199
440,637,98198
441,531,98168
442,326,98168
443,543,98166
444,603,98166
445,239,98166
446,577,98166
447,442,98837
