,week,number
0,0,0
1,1,229
2,2,229
3,3,229
4,4,229
5,5,229
6,6,229
7,7,459
8,8,459
9,9,459
10,10,459
11,11,459
12,12,459
13,13,459
14,14,459
15,15,459
16,16,689
17,17,689
18,18,689
19,19,689
20,20,919
21,21,919
22,22,919
23,23,919
24,24,919
25,25,919
26,26,919
27,27,1149
28,28,1149
29,29,1149
30,30,1149
31,31,1149
32,32,1379
33,33,1379
34,34,1379
35,35,1379
36,36,1609
37,37,1609
38,38,1609
39,39,1609
40,40,1609
41,41,1609
42,42,1609
43,43,1609
44,44,1609
45,45,1609
46,46,1609
47,47,1609
48,48,1839
49,49,1839
50,50,2069
51,51,2299
52,52,2299
53,53,2299
54,54,2299
55,55,2299
56,56,2529
57,57,2529
58,58,2529
59,59,2529
60,60,2529
61,61,2758
62,62,2758
63,63,2758
64,64,2758
65,65,2758
66,66,2758
67,67,2758
68,68,2758
69,69,2758
70,70,2758
71,71,2988
72,72,2988
73,73,2988
74,74,2988
75,75,3218
76,76,3218
77,77,3218
78,78,3448
79,79,3448
80,80,3678
81,81,3678
82,82,3678
83,83,3678
84,84,3678
85,85,3678
86,86,3678
87,87,3908
88,88,4138
89,89,4138
90,90,4138
91,91,4138
92,92,4138
93,93,4138
94,94,4138
95,95,4138
96,96,4138
97,97,4138
98,98,4138
99,99,4368
100,100,4368
101,101,4368
102,102,4598
103,103,4598
104,104,4598
105,105,4598
106,106,4598
107,107,4598
108,108,4598
109,109,4598
110,110,4598
111,111,4598
112,112,4598
113,113,4828
114,114,4828
115,115,4828
116,116,4828
117,117,4828
118,118,5288
119,119,5517
120,120,5517
121,121,5517
122,122,5517
123,123,5517
124,124,5517
125,125,5517
126,126,5517
127,127,5517
128,128,5517
129,129,5747
130,130,5977
131,131,5977
132,132,6207
133,133,6207
134,134,6207
135,135,6437
136,136,6437
137,137,6437
138,138,6897
139,139,6897
140,140,6897
141,141,6897
142,142,7357
143,143,7357
144,144,7357
145,145,7357
146,146,7357
147,147,7357
148,148,7357
149,149,7357
150,150,7357
151,151,7357
152,152,7357
153,153,7587
154,154,7587
155,155,7587
156,156,7587
157,157,7587
158,158,7587
159,159,7587
160,160,7587
161,161,7587
162,162,7587
163,163,7817
164,164,7817
165,165,7817
166,166,8047
167,167,8047
168,168,8276
169,169,8276
170,170,8276
171,171,8276
172,172,8506
173,173,8506
174,174,8506
175,175,8506
176,176,8736
177,177,8736
178,178,8736
179,179,8736
180,180,8736
181,181,8736
182,182,8736
183,183,8736
184,184,8736
185,185,8736
186,186,8966
187,187,8966
188,188,8966
189,189,9426
190,190,9656
191,191,9656
192,192,9656
193,193,10116
194,194,10116
195,195,10116
196,196,10116
197,197,10116
198,198,10116
199,199,10116
200,200,10346
201,201,10346
202,202,10346
203,203,10346
204,204,10346
205,205,10346
206,206,10576
207,207,10805
208,208,10805
209,209,10805
210,210,11035
211,211,11035
212,212,11035
213,213,11035
214,214,11265
215,215,11265
216,216,11495
217,217,11725
218,218,11725
219,219,11955
220,220,11955
221,221,11955
222,222,11955
223,223,12415
224,224,12415
225,225,12415
226,226,12415
227,227,12645
228,228,12645
229,229,12875
230,230,12875
231,231,13105
232,232,13335
233,233,13335
234,234,13335
235,235,13335
236,236,13335
237,237,13335
238,238,13335
239,239,13564
240,240,13794
241,241,14024
242,242,14024
243,243,14024
244,244,14024
245,245,14024
246,246,14024
247,247,14254
248,248,14254
249,249,14254
250,250,14254
251,251,14484
252,252,14714
253,253,14714
254,254,14944
255,255,14944
256,256,15174
257,257,15404
258,258,15634
259,259,15634
260,260,15634
261,261,15634
262,262,15634
263,263,15634
264,264,15634
265,265,15634
266,266,15634
267,267,15634
268,268,15634
